uq,error
0.485,0.0
0.5589999999999999,0.15873015873015872
0.5900000000000001,0.5800000000000001
0.05900000000000005,0.0
0.757,0.5517241379310345
0.33799999999999997,0.0
0.593,0.5104166666666667
0.5409999999999999,0.0
0.354,0.3015873015873016
0.44599999999999995,0.48888888888888893
0.10699999999999998,0.0
0.19299999999999995,0.0
0.17500000000000004,0.3142857142857143
0.32699999999999996,0.0
0.10199999999999998,0.0
0.22499999999999998,0.0
0.509,0.16129032258064513
0.637,0.4
0.028000000000000025,0.0
0.257,0.18461538461538463
0.552,0.0
0.565,0.0
0.64,0.0
0.6839999999999999,0.4883720930232558
0.615,0.43137254901960786
0.5860000000000001,0.16666666666666663
0.531,0.140625
0.02400000000000002,0.0
0.040000000000000036,0.0
0.768,0.6428571428571428
0.52,0.2432432432432432
0.752,0.0
0.489,0.0
0.14900000000000002,0.0
0.603,0.0
0.31000000000000005,0.0
0.74,0.48571428571428577
0.5,0.46153846153846156
0.041000000000000036,0.0
0.637,0.537037037037037
0.28400000000000003,0.523076923076923
0.706,0.5873015873015873
0.6759999999999999,0.7
0.239,0.0
0.10799999999999998,0.0
0.637,0.0
0.399,0.0
0.759,0.0
0.618,0.26086956521739135
0.874,0.0
0.7010000000000001,0.0
0.46499999999999997,0.0
0.732,0.3137254901960784
0.652,0.6111111111111112
